"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LTU","FDIFLOW","INWARD","PC_GDP","A","2017",2.1328285842165,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2018",1.8158219907424,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2019",5.5186807776755,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2020",6.1751031413245,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2021",4.2113940569557,
"LTU","FDIFLOW","INWARD","PC_GDP","A","2022",2.9843548971671,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2005",1.5051219479796,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2006",1.0241993051667,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2007",1.3964720023151,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2008",1.28103430198,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2009",1.4842990722257,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2010",0.11376780330153,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2011",1.721189345899,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2012",1.2600432160881,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2013",0.2835096404986,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2014",0.12127634950453,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2015",0.91007404922779,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2016",0.10016010874674,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2017",0.16782031223402,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2018",1.3093398584258,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2019",3.189808775644,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2020",5.0445552058665,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2021",1.9914517831008,
"LTU","FDIFLOW","OUTWARD","PC_GDP","A","2022",0.51869835960733,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2013-Q1",449.02429311031,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2013-Q2",125.00995619275,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2013-Q3",150.68365856896,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2013-Q4",-151.09518120271,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2014-Q1",106.03688470214,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2014-Q2",33.037017380921,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2014-Q3",-75.958604219185,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2015-Q1",337.85912368275,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2015-Q2",311.54742096506,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2015-Q3",171.28119800333,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2016-Q1",-674.64337056287,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2016-Q2",362.32444985071,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2016-Q3",205.37432268053,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2016-Q4",409.2557779498,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2017-Q4",158.96742193665,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2018-Q1",169.26708367756,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2018-Q2",106.30237224124,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2018-Q3",540.57594712617,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2018-Q4",159.88433848696,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2019-Q1",260.31568342102,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2019-Q2",2201.8918616366,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2019-Q3",496.52972125826,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2019-Q4",62.823239673122,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2020-Q1",282.90598290598,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2020-Q2",2947.4415954416,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2020-Q3",210.63247863248,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2020-Q4",69.356125356125,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2021-Q1",788.02034058657,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2021-Q2",555.97209082308,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2021-Q3",317.66792809839,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2021-Q4",1136.6130558184,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2022-Q1",1472.53128615,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2022-Q2",-449.85802923546,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2022-Q3",607.44557787359,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2022-Q4",472.89935850247,
"LTU","FDIFLOW","INWARD","MLN_USD","Q","2023-Q1",624.9544040339,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q1",17.496349395991,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q2",165.84362139918,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q3",-17.416699853976,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q4",-34.05017921147,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q1",66.896643226748,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q2",105.87767016054,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q3",-0.68992968024413,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q4",-113.17500331697,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q1",36.472545757072,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q2",147.94231835829,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q3",84.825291181364,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q4",107.85357737105,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q1",161.04168970474,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q2",-100.4865641933,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q3",-32.256994360279,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q4",14.818091341369,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q1",-10.630143163116,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q2",19.501747266374,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q3",214.86867320482,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q4",-143.59147784917,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q1",127.94759825328,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q2",533.8132892718,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q3",-113.32467839018,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q4",155.35229552697,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q1",129.59811933281,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q2",1750.0615694615,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q3",70.827269674242,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q4",-204.01880667189,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q1",164.35327635328,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q2",3006.6780626781,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q3",-352.36467236467,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q4",48.991452991453,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2021-Q1",165.96499526963,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2021-Q2",670.23415326395,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2021-Q3",192.10028382214,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2021-Q4",294.92667928098,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2022-Q1",208.39204963719,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2022-Q2",16.678935745084,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2022-Q3",88.30581554317,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2022-Q4",52.140077821012,
"LTU","FDIFLOW","OUTWARD","MLN_USD","Q","2023-Q1",571.1618925008,
"COL","FDIFLOW","INWARD","MLN_USD","A","2005",10235.419011168,
"COL","FDIFLOW","INWARD","MLN_USD","A","2006",6750.6180347488,
"COL","FDIFLOW","INWARD","MLN_USD","A","2007",8885.7675396729,
"COL","FDIFLOW","INWARD","MLN_USD","A","2008",10564.151395453,
"COL","FDIFLOW","INWARD","MLN_USD","A","2009",8034.7528155745,
"COL","FDIFLOW","INWARD","MLN_USD","A","2010",6429.9909573141,
"COL","FDIFLOW","INWARD","MLN_USD","A","2011",14647.04311849,
"COL","FDIFLOW","INWARD","MLN_USD","A","2012",15039.965981241,
"COL","FDIFLOW","INWARD","MLN_USD","A","2013",16210.410261462,
"COL","FDIFLOW","INWARD","MLN_USD","A","2014",16168.70661125,
"COL","FDIFLOW","INWARD","MLN_USD","A","2015",11620.532645709,
"COL","FDIFLOW","INWARD","MLN_USD","A","2016",13857.937720803,
"COL","FDIFLOW","INWARD","MLN_USD","A","2017",13700.8804452,
"COL","FDIFLOW","INWARD","MLN_USD","A","2018",11298.692773849,
"COL","FDIFLOW","INWARD","MLN_USD","A","2019",13989.839283908,
"COL","FDIFLOW","INWARD","MLN_USD","A","2020",7458.62498428,
"COL","FDIFLOW","INWARD","MLN_USD","A","2021",9561.33527667,
"COL","FDIFLOW","INWARD","MLN_USD","A","2022",16868.74643843,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2005",4795.51806102,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2006",1267.75097184,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2007",1278.79639079,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2008",3085.12436814,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2009",3504.65790297,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2010",5482.6587817,
"COL","FDIFLOW","OUTWARD","MLN_USD","A","2011",8419.82546474,
